Show Context Actions	Alt+Enter
Basic Code Completion	Alt+/
Smart Code Completion	Ctrl+Shift+Space
Type Name Completion	Ctrl+Alt+Space
Complete Statement	Ctrl+Shift+Enter
Parameter Information	Alt+Shift+P
Quick Definition	Ctrl+Shift+I


Find Action…Esc, X
Build Project	Ctrl+F9
Open a Tool Window	Alt+[0-9]
Rebuild	Ctrl+Shift+F9
Reload All from Disk	Ctrl+Alt+Y
Run context configuration    Ctrl+Shift+F10
Quick Switch Scheme…	Ctrl+`
Run Selected Configuration	Alt+Shift+F10
Debug Selected ConfigurationAlt+Shift+F9
Run Current Configuration	Shift+F10
Debug Current Configuration	Shift+F9

Settings...	Ctrl+Alt+S

Project Structure…	Ctrl+Alt+Shift+S
Jump to Source	F4
Step Over	F8
Step Into	F7
Smart Step Into	Shift+F7
Step Out	Shift+F8
Jump to Navigation Bar	Alt+Home
Jump to Last Tool Window	F12
Quick/External Documentation	Ctrl+Q / Shift+F1


Hide Active Tool Windows	Shift+Esc
Hide All Tool Windows	Ctrl+Shift+F12
Generate Code	Alt+Insert
Run to Cursor	Alt+F9
Override/Implement Members  Ctrl+I
Go to Next Editor Tab	Alt+Right
Go to Previous Editor Tab	Alt+Right
Force Run to Cursor	Ctrl+Alt+F9
Surround With…	Ctrl+Alt+T
Go to Editor (from a Tool Window)	Esc, Esc
Show Execution Point	Alt+F10
Close Active Tab	Ctrl+Shift+F4
Close Active Window	Ctrl+F4
Evaluate Expression…	Alt+F8
Comment with Line Comment	Alt+;
Comment with Block Comment	Ctrl+Shift+/

Extend Selection	Ctrl+Alt+W
Shrink Selection	Ctrl+Shift+W

Context Info	Alt+Q
Optimize Imports	Ctrl+Alt+O
Auto-Indent Lines   Ctrl+Alt+I
Cut	Shift+Delete
Copy	Ctrl+Insert
Paste	Shift+Insert
Copy Document Path	Ctrl+Shift+C
Stop	Ctrl+F2
Search Everywhere	Shift Shift
Stop Background Processes…	Ctrl+Shift+F2
Find/ReplaceCtrl+Alt+S / Alt+Shift+5

Find in Path	Ctrl+Shift+F
Replace in Path	Ctrl+Shift+R

Toggle Line Breakpoint	Ctrl+F8
Toggle Temporary Line Breakpoint	Ctrl+Alt+Shift+F8
Next Occurence	F3
Previous Occurence	Shift+F3
Edit breakpoint	Ctrl+Shift+F8
Next Occurrence of the Word at Caret	Ctrl+F3
View Breakpoints…	Ctrl+Shift+F8
Paste from Clipboard History	Alt+Y
Go to Class	Alt+Shift+G

Duplicate Current Line or Selection	Meta+D
Go to File Member	Ctrl+F12
Refactor This…	Ctrl+Alt+Shift+T
Join Line	Ctrl+Shift+J
Split Line	Ctrl+O

Go to File	Ctrl+X, Ctrl+F
Copy File	F5
Start New Line	Shift+Enter
Go to Symbol	Ctrl+Alt+Shift+N
Move File	F6
Toggle Case	Ctrl+Shift+U

Rename…  Shift+F6
Expand Code Block	Ctrl+NumPad +
Collapse Code Block	Ctrl+NumPad -


Go to Declaration or Usages	Ctrl+Alt+G
Change Signature…	Ctrl+F6
Go to Type Declaration  Ctrl+Shift+B
Inline…Ctrl+Alt+N
Go to Super Method	Ctrl+U
Extract Method	Ctrl+Alt+M
Find Usages	Alt+F7 / Ctrl+F7
Find Usages in File	Ctrl+F7

Introduce Variable  Ctrl+Alt+V
Highlight Usages in File	Ctrl+Shift+F7
Introduce Constant	Ctrl+Alt+C
Show Error Description	Ctrl+F1
Show Usages	Ctrl+Alt+F7
Introduce Parameter	Ctrl+Alt+P
Next Highlighted Error	F2
Previous Highlighted Error	Shift+F2
Run Inspection by Name…	Ctrl+Alt+Shift+I
Select In…	Alt+F1
Type Hierarchy	Ctrl+H
Last Edit Location	Ctrl+Shift+Back
Method Hierarchy	Ctrl+Shift+H
Navigate Back	Ctrl+Alt+Left
Navigate Forward	Ctrl+Alt+Right


Call Hierarchy	Ctrl+Alt+H

Go to Previous method	Alt+Up
Go to Next method	Alt+Down

Go to Line:Column…	Alt+G

Go to Code Block End	Ctrl+]
Go to Code Block Start	Ctrl+[

Add to Favorites	Alt+Shift+F
Toggle Bookmark	F11
Toggle Bookmark with Mnemonic	Ctrl+F11
Expand	Ctrl+NumPad +
Collapse All	Ctrl+NumPad -
VCS Operations	Alt+`
Update Project	Ctrl+T
Recent Changes	Alt+Shift+C
Rollback…	Ctrl+Alt+Z
Go to Numbered Bookmark	Ctrl+[0-9]
Push…	Ctrl+Shift+
KShow Line Bookmarks...	Shift+F11
Next Change	Ctrl+Alt+Shift+Down
Previous Change	Ctrl+Alt+Shift+Up
